"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo","redundant (299 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
Variable,Variable,"redundant (354 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Worldwide Expedited","Worldwide Expedited","redundant (274 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Worldwide Express","Worldwide Express","redundant (269 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Worldwide Express Letter","Worldwide Express Letter","redundant (271 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Worldwide Express Plus","Worldwide Express Plus","redundant (272 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter","redundant (273 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
"Worldwide Express Saver","Worldwide Express Saver","redundant (270 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
Yes,Yes,"redundant (368 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php)"
"Your Packaging","Your Packaging","redundant (497 - /home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php)"
Ground,Ground,"duplicate (475-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex.php, 266-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php, 265-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups.php)"
Letter,Letter,"duplicate (348-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps.php, 269-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl.php)"
None,None,"duplicate (27-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Dhl/Source/Freemethod.php, 27-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Ups/Source/Freemethod.php, 27-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Usps/Source/Freemethod.php, 27-/home/vasily/dev/magento/app/code/core/Mage/Usa/Model/Shipping/Carrier/Fedex/Source/Freemethod.php)"
