Sales,Vanzari
Products Report (Total),Raport de produse (Total)
Open,Deschis
Any,Orice
Edit Store,Editati magazinul
Added,Adaugat
Configurable Product Settings,Setari configurabile ale produsului
Content,Continut
Role Name,Numele rolului
Select All,Selectati toate
in,in
Are you sure you want to take this action?,Sinteti sigur ca vreti sa luati aceasta actiune?
Role Information,Informatie de rol
Options Control,Control de optiuno
Meta Keywords,Cuvinte cheie meta
Please select products to add,Va rugam selectati produse pentru adaugare
Sender,Trimitator
Product,Produs
Tax Rules,Reguli de taxa
Newsletter Start,Incepeti scrisoarea de noutati
Unable to find a block to delete,Nu am putut gasi un bloc pentru stergere
New Tax Rate,Noua rata de taxe
Rating was successfully deleted,Ratarea a fost stearsa cu succes
Error during import: %s,Eroare in importarea: %s
Delete Answer,Stergeti raspunsul
Edit Customer Groups,Editati grupele de client
"Please, select County","Va rugam selectati tara"
Customer Tags,Cupoane de client
(eg: domain.com/identifier),(ex: domain.com/identificator)
No search modules registered,Nu sint module de cautare inregistrate
New Product Tax Class,Clasa noua de taxe a produsului
Save Rule,Salvati regula
Edit Sorting,Editati sortarea
The block you are trying to save no longer exists,Blocul pe care in cercati sa il salvati nu mai exista
Customers Report,Raportul clientilor
Download,Descarcati
Detail,Detaliu
Created On,Creat la
Category delete error,Eroare in stergerea categoriei
Review successfully deleted,Recenzia a fost stearsa cu succes
Root,Radacina
ID,ID
Number of Responses,Numar de raspunsuri
Meta Description,Descriptie meta
Source Model,Model sursa
Unselect All Stores,Deselectati toate magazinele
Add New Group,Adaugati un grup nou
Summary Rating,Sumarul ratarii
Rate,Rata
Yes,Da
Search Query,Rindul cautarii
Template Information,Informatia pre-facutei
Date Start,Data de inceput
Total,Total
Price,Pret
Filterable (no results),Filtrabile (fara rezultate)
Date Expire,Data expirarii
Number Fulfilled,Numar umplut
New Category,Categorie noua
Save Rating,Salvati ratarea
Delete Option,Stergeti optiunea
Save Invoice,Salvati factura
Unable to apply rules,Nu pot aplica regulile
New Tag,Cupon nou
User Email,Email-ul folositorului
Based On,Bazat pe
Edit Customer's Address,Editati adresa clientului
New Order,Comanda noua
Group Name,Numele grupului
Tax Rate Information,Informatia ratei de taxa
Queue Information,Rindul informatiei
Guest,Vizitator
Varchar,Varchar
Number of results<br/>(For last time placed),Numarul rezultatelor<br/>(Pus pentru ultima oara)
Add New Customer Group,Adaugati un nou grup de client
Product attribute was successfully deleted,Atributul produsului a fost sters cu succes
Unable to find answer to delete.,Nu pot gasi raspunsul care trebuie sters.
Unable to find a tag to delete,Nu pot gasi un cupon care trebuie sters
Meta Data,Data meta
Save User,Salvati folositorul
Template Type,Tipul pre-facutei
"Invalid %s ""%s"" in the Row #%s","%s ""%s"" invalid in linia #%s"
Reset,Montati
Hits,Gasiri
Page was successfully deleted,Pagina a fost stearsa cu succes
Page Title,Titlul paginii
User with the same User Name or Email aleady exists,Folositorul cu numele Numele folositorului sau Email exista deja
Customers Tagged '%s',Cupoanele clientilor '%s'
Region/State,Regiune/Stat
Values Required,Valori cerute
This order no longer exists,Aceasta comanda nu mai exista
Account status,Statutul acontului
Product Tags,Cupoanele produsului
Item Status,Statutul obiectului
Interface Language,Limbajul interfatei
Cancelled,Sters
Position,Positie
Items Ordered,Obiecte comandate
Rating was successfully saved,Ratarea a fost salvata cu succes
New Product,Product nou
Purchase On,Cumparati in
Fiterable (with results),Filtrabil (cu rezultate)
Password,Parola
Shipped to First Name,Numele de livrare
Catalog Input Type for Store Owner,Tipul de intrare in catalog pentru proprietarul magazinului
Decimal Number,Numar decimal
Wishlist,Lista de dorinte
Create New Invoice,Creati o noua factura
Credit Memo was saved succesfully,Memo de credit a fost salvat cu succes
Tax Rates,Rate de taxa
Submit Credit Memo,Trimiteti creditul memo
Unable to find a page to delete,Nu am putut gasi pagina care trebuie stearsa
Purchased from (store),Cumparata de la (magazin)
Added From,Adaugati de la
Payment Method,Metoda de plata
Poll was successfully saved,Polul a fost salvat cu succes
New Rating,ratare noua
Delete Tier,Stergeti treapta
Telephone,Telefon
New Page,Pagina noua
Error Text,Eroare in text
Edit Rule '%s',Editati regula '%s'
Page Information,Informatia paginii
Delete Page,Stergeti pagina
There are no items in customer's wishlist at the moment,In acest moment nu sint obiecte in lista de dorinte a clientului
This attribute no longer exists,Acest atribut nu mai exista
CMS Pages,Pagini CMS
Attribute set was successfully removed.,Setul de atribut a fost sters cu succes.
You successfully logged out.,Ati iesit cu succes.
Total Tags,Total cupoane
